name,address,nature,nightlife,drink,music,dance,history,sports,art,museum,walk,restaurant,movie,Latitude,Longitude
The O2 Arena,Peninsula Sq.,0,0,0,1,0,0,1,0,0,0,0,0,22.3114249,114.1898083
Roundwood Park,Harlesden Rd.,1,0,0,0,0,0,1,0,0,1,0,0,51.5388886,-0.2384279
The Space,269 Westferry Road,0,0,0,0,0,0,0,1,0,0,0,0,51.4921314,-0.0243142
White Bear Theatre Club,138 Kennington Park Road,0,0,0,0,0,0,0,0,0,0,0,0,51.4868905,-0.1080999
The Battersea Barge,9 Elms Lane,0,0,0,0,0,0,0,0,0,0,0,0,40.9396941,-72.8557444
Corsica Studios,"4/5 Elephant Road, London, United Kingdom",0,1,0,1,1,0,0,0,0,0,0,0,51.4934892,-0.0987681
The Jack Studio Theatre,410 Brockley Rd,0,0,0,0,0,0,0,0,0,0,0,0,43.1682465,-77.5444475
Village Underground,"54 Holywell Lane, London, United Kingdom",0,1,1,1,1,0,0,0,0,0,0,0,51.5235955,-0.0786639
Crystal Palace National Sports Centre,"Ledrington Road, London, United Kingdom",0,0,0,0,0,0,1,0,0,0,0,0,51.4184392,-0.0740619
Arches Leisure Centre,"80 Trafalgar Road, London, United Kingdom",0,0,0,0,0,0,1,0,0,0,0,0,51.4184596,-0.1889542
Mile End Stadium,"190 Burdett Road, London, United Kingdom",0,0,0,0,0,0,1,0,0,0,0,0,51.5190214,-0.0334207
White Hart Lane Stadium,748 High Rd,0,0,0,0,0,0,1,0,0,0,0,0,41.6271585,-72.7874805
The Hippodrome Kingston,"1 St James Road, Kingston upon Thames, United Kingdom",1,0,1,0,0,0,0,0,0,0,0,0,51.408279,-0.3049293
Alexandra Palace,"Alexandra Palace Way, London, United Kingdom",0,0,0,1,0,0,0,1,0,1,0,0,51.5923843,-0.1340262
Surrey Docks Watersports Centre,"Rope Street, United Kingdom",0,0,0,0,0,0,1,0,0,0,0,0,51.4945015,-0.0338475
Brent Valley Golf Course,Brent Valley Golf Course,0,0,0,0,0,0,1,0,0,0,0,0,51.5173411,-0.3445661
